,id,class,latitude,longitude
0,343571605,Insecta,30.2784724399,-97.7324093165
1,341025946,Insecta,30.3057285074,-97.7737656545
2,339769063,Insecta,30.2469916667,-97.7198638889
3,338766430,Insecta,30.2571694444,-97.7665222222
4,337179778,Insecta,30.2578229722,-97.7859739722
5,337123012,Insecta,30.2571222222,-97.7666111111
6,332608567,Insecta,30.289255,-97.642805
7,332346359,Insecta,30.2404278609,-97.6985973492
8,321065719,Insecta,30.2245388031,-97.7432556152
9,320174249,Insecta,30.29278832,-97.69057234
10,317515421,Insecta,30.2924758239,-97.7310052887
11,317161385,Insecta,30.2639216667,-97.6900216667
12,316706514,Insecta,30.2984246639,-97.7391164805
13,315058877,Insecta,30.3274918445,-97.7482806552
14,314584278,Insecta,30.2859188632,-97.7540523367
15,314490064,Insecta,30.2868092945,-97.7539072652
16,313439934,Insecta,30.24149264,-97.70023326
17,313267702,Insecta,30.2905025238,-97.7318252251
18,312904386,Insecta,30.31543,-97.7835616667
19,306359876,Insecta,30.24392,-97.8104466667
20,306359619,Insecta,30.24378,-97.8103783333
21,305638252,Insecta,30.2141106146,-97.7829186242
22,305116308,Insecta,30.311384218,-97.7241466559
23,305092319,Insecta,30.2518805556,-97.7897861111
24,304597696,Insecta,30.3284838997,-97.7036362
25,303739507,Insecta,30.3127059937,-97.6757736206
26,302859101,Insecta,30.3344802778,-97.7189254722
27,302270174,Insecta,30.3145955674,-97.7570841122
28,301097797,Insecta,30.242221863,-97.7006824458
29,301094617,Insecta,30.2422400037,-97.7006942393
30,300446680,Insecta,30.2421,-97.7007
31,299592549,Insecta,30.2299071,-97.7814363
32,297751109,Insecta,30.332995,-97.7499049722
33,296176447,Insecta,30.2521758081,-97.7892463979
34,295830164,Insecta,30.3331966667,-97.7340166667
35,291900587,Insecta,30.2629666667,-97.745295
36,290565630,Insecta,30.3127243724,-97.7732082154
37,286161939,Insecta,30.3584651106,-97.7573360159
38,285824809,Insecta,30.245152728,-97.8190244369
39,285742839,Insecta,30.35703015,-97.68375342
40,285260707,Insecta,30.3523183265,-97.777371425
41,284951080,Insecta,30.2716355648,-97.7409246419
42,284318687,Insecta,30.3210124969,-97.7231750488
43,283162864,Insecta,30.2811015927,-97.7518081268
44,282089739,Insecta,30.2822347451,-97.6342930646
45,281049923,Insecta,30.3493852213,-97.7420623502
46,281049921,Insecta,30.3487195885,-97.7426953153
47,279976914,Insecta,30.29238,-97.7992383333
48,279564658,Insecta,30.2638531549,-97.7448276055
49,279069009,Insecta,30.3126388889,-97.7152111111
50,278784246,Insecta,30.2551479167,-97.7146835278
51,278485730,Insecta,30.3250356512,-97.7437187854
52,275260386,Insecta,30.2414861111,-97.7012555556
53,275253857,Insecta,30.2813148499,-97.751701355
54,275236244,Insecta,30.2814216614,-97.7518005371
55,274367924,Insecta,30.2417716667,-97.7007216667
56,273922702,Insecta,30.2493030615,-97.7203856221
57,273922335,Insecta,30.2493081297,-97.7203925909
58,271611410,Insecta,30.2841305556,-97.7824638889
59,271585062,Insecta,30.2839151,-97.7779775
60,271580679,Insecta,30.2847013997,-97.7822215
61,271578539,Insecta,30.2844641,-97.7823724997
62,271567926,Insecta,30.2835689997,-97.7824118
63,271280020,Insecta,30.2810466667,-97.775825
64,270906605,Insecta,30.2812571543,-97.7760074192
65,270548972,Insecta,30.212594182,-97.7020470823
66,270537320,Insecta,30.2994253938,-97.6953133781
67,270445250,Insecta,30.2837766041,-97.7373748696
68,270250885,Insecta,30.281445,-97.7511616667
69,270246808,Insecta,30.2816466667,-97.7512666667
70,270245682,Insecta,30.281695,-97.75132
71,270237770,Insecta,30.281145,-97.75158
72,270236842,Insecta,30.2813333333,-97.7516416667
73,269898799,Insecta,30.2667,-97.8303
74,269719718,Insecta,30.26978,-97.8266966667
75,269495342,Insecta,30.3030109406,-97.7399368286
76,269356226,Insecta,30.2663533333,-97.83542
77,268576877,Insecta,30.2805366667,-97.7587966667
78,268443631,Insecta,30.3372777778,-97.722825
79,268403946,Insecta,30.2632333333,-97.8228533333
80,267854332,Insecta,30.2813583333,-97.751245
